28850,27044,782,902,1005,1032,1811,546,508
28850,27044,787,887,1012,991,1779,529,447
28850,27044,785,950,1062,1016,1794,604,480
28850,27044,872,896,1036,1006,1761,536,381
28850,27044,791,896,1046,1017,1808,514,464
28850,27044,823,902,1028,1005,1783,562,407
28850,27044,801,915,1072,994,1770,566,593
28850,27044,854,889,1064,1038,1768,548,492
28850,27044,821,972,992,999,1795,582,397
28850,27044,815,859,1154,1013,1774,518,581
28850,27044,880,883,1015,1012,1756,529,418
28850,27044,821,877,1050,1023,1762,555,437
28850,27044,833,895,1029,1010,1764,577,409
28846,27047,833,871,1023,1027,1794,521,401
28828,27066,821,911,1041,1020,1787,556,396
28807,27089,837,897,1103,1068,1767,551,447
28785,27114,826,993,1130,989,1776,587,423
28763,27138,890,1000,1148,1026,1785,511,393
28742,27161,876,976,1276,989,1766,516,468
28720,27182,941,1078,1294,888,1773,469,401
28699,27205,875,1136,1311,934,1757,582,398
28678,27227,960,1113,1389,926,1783,551,452
28656,27249,969,1175,1459,936,1741,532,496
28636,27270,1105,1266,1542,973,1729,570,538
28615,27291,1088,1299,1647,1032,1722,617,583
28595,27314,1128,1440,1628,1142,1733,590,534
28574,27336,1209,1439,1716,1187,1730,581,594
28554,27357,1203,1544,1757,1280,1748,628,561
28532,27381,1279,1665,1848,1341,1738,596,559
28510,27403,1348,1750,1927,1600,1735,605,541
28488,27426,1464,1879,2018,1801,1693,575,555
28466,27448,1625,2049,2172,1953,1751,620,501
28445,27469,1676,2198,2422,1951,1711,629,514
28423,27489,1832,2583,2765,1989,1701,638,518
28407,27507,1980,2826,3073,2085,1738,560,573
28405,27511,2279,3255,3503,2262,1686,650,439
28405,27511,2279,3401,3698,2286,1742,521,378
28407,27511,2318,3358,3662,2294,1699,578,407
28407,27511,2356,3300,3594,2381,1704,651,418
28407,27511,2295,3300,3594,2381,1704,651,418
28407,27511,2295,3284,3591,2274,1708,591,425
28411,27515,2298,3315,3575,2281,1691,627,436
28429,27533,2306,3291,3602,2322,1696,612,507
28447,27550,2058,3015,3660,2497,1695,426,538
28467,27569,1757,2796,3699,2719,1651,478,522
28500,27604,1251,2157,3501,3477,1521,876,478
28520,27621,744,1941,3383,3558,1502,1056,359
28537,27640,744,1653,3088,3575,1410,1184,336
28555,27658,659,1354,2865,3506,1237,1352,795
28569,27676,333,1143,2484,3440,1842,1496,586
28587,27695,260,931,2254,3292,1502,1661,663
28603,27712,399,721,1947,3049,1534,1799,117
28619,27727,391,632,1690,2868,1729,1934,610
28636,27745,470,372,1499,2618,1817,2101,530
28653,27761,432,258,1182,2258,2027,2229,421
28669,27777,432,365,1063,1995,1967,2376,583
28687,27794,376,337,765,1722,2080,2475,408
28690,27802,376,321,631,1467,2100,2499,468
28689,27802,371,400,504,1359,2137,2470,442
28689,27802,370,353,498,1390,2121,2487,415
28689,27802,401,363,566,1406,2154,2468,346
28684,27810,401,353,628,1365,2152,2468,392
28663,27828,310,375,569,1349,2131,2396,337
28643,27853,309,362,862,1387,2097,2294,392
28623,27878,408,344,525,1302,2256,2065,458
28603,27903,332,385,507,1285,2298,1876,387
28583,27926,378,395,590,1364,2321,1733,380
28562,27950,326,429,413,1271,2307,1657,423
28541,27973,406,409,388,1136,2341,1536,379
28519,27995,436,423,455,1127,2310,1444,440
28496,28018,321,465,377,1163,2350,1426,388
28475,28040,288,483,317,1228,2300,1290,388
28452,28062,395,441,464,1236,2329,1216,410
28430,28086,446,455,517,1248,2314,1175,473
28408,28108,375,485,700,1241,2320,1125,431
28387,28130,526,530,394,1270,2333,1101,399
28365,28152,505,481,646,1243,2241,1053,428
28342,28174,534,533,636,1310,2308,1008,495
28319,28198,497,454,452,1306,2321,960,364
28297,28219,562,597,410,1240,2283,1002,370
28275,28240,533,559,584,1365,2330,934,492
28252,28261,505,529,405,1268,2319,891,399
28229,28282,432,593,371,1281,2315,868,392
28208,28304,510,608,451,1322,2381,823,364
28187,28326,468,641,507,1404,2383,868,324
28165,28348,588,628,671,1301,2312,858,385
28143,28371,588,597,688,1324,2371,784,310
28121,28395,632,658,755,1298,2357,820,348
28098,28421,598,720,727,1380,2399,804,241
28076,28445,621,663,716,1367,2419,731,293
28055,28469,686,719,749,1396,2079,705,378
28034,28490,668,682,859,1406,1954,671,506
28014,28511,614,691,796,1272,1959,647,296
27992,28534,676,683,833,1140,1908,666,346
27971,28557,702,805,848,1148,2022,684,586
27950,28579,672,821,873,1181,2029,649,399
27929,28601,696,847,937,1253,2180,640,402
27908,28624,781,836,904,1109,2549,707,466
27887,28648,807,913,965,1110,2351,637,434
27867,28671,807,917,1019,1209,2349,611,566
27847,28693,865,933,1027,1161,2294,614,498
27826,28716,865,952,1063,1155,2422,630,454
27806,28738,858,1010,1124,1112,2372,613,462
27784,28758,858,1113,1180,1065,2513,686,430
27763,28779,957,1101,1224,1071,2406,655,472
