146,32574,975,681,722,530,274,986,2543
146,32574,984,640,651,445,229,1040,2468
146,32574,984,611,656,482,281,992,2462
146,32574,1071,641,681,575,230,975,2479
146,32574,966,638,762,526,240,986,2514
146,32574,966,701,660,489,255,1044,2436
146,32574,954,630,646,508,228,1000,2456
146,32574,963,672,665,472,241,972,2466
146,32574,1011,637,644,494,241,993,2455
146,32574,1011,636,680,503,237,1015,2484
146,32574,981,643,704,523,265,990,2511
146,32574,981,653,655,554,209,994,2489
146,32574,953,643,672,471,204,895,2457
146,32574,991,655,676,507,234,984,2464
146,32574,978,629,643,475,259,950,2450
146,32574,976,677,678,496,248,1066,2473
146,32574,976,646,666,472,238,1013,2449
146,32574,989,707,661,480,200,1085,2455
146,32574,978,621,642,554,265,1013,2453
146,32574,1031,623,689,543,226,988,2481
146,32575,1031,632,664,488,264,983,2454
138,32583,943,636,679,469,272,1018,2484
128,32598,940,636,679,469,272,1018,2484
116,32612,982,666,674,582,276,798,2647
106,32627,1005,664,674,538,221,574,2454
94,32642,1005,628,683,527,269,419,2413
85,32656,1061,683,789,576,235,433,2455
75,32668,1062,730,706,523,317,433,2384
65,32679,1071,663,702,535,188,427,2316
54,32689,1121,707,740,573,261,429,2318
44,32702,1121,747,716,577,304,458,2345
33,32714,1107,710,755,654,213,400,2379
22,32726,1144,730,740,605,337,424,2355
11,32739,1195,724,813,632,290,397,2347
1,32752,1231,746,752,609,248,403,2337
32759,32765,1234,766,765,591,212,450,2297
32749,10,1295,728,782,645,274,408,2266
32740,24,1350,763,821,635,267,486,2308
32731,39,1366,791,767,623,358,457,2322
32720,54,1350,793,856,669,237,487,2327
32710,69,1399,797,836,684,237,454,2303
32700,83,1334,759,856,793,216,432,2303
32690,97,1554,799,849,701,300,380,2275
32680,110,1554,842,874,730,227,441,2333
32671,124,1565,823,891,792,290,430,2341
32661,137,1569,854,937,778,304,404,2343
32650,151,1576,885,932,799,281,451,2337
32640,164,1633,846,920,730,289,442,2384
32630,176,1651,871,1016,806,347,423,2412
32618,187,1617,857,1007,835,328,475,2431
32606,199,1645,906,1023,847,275,426,2397
32594,211,1630,994,1052,832,344,438,2429
32582,224,1592,950,1036,836,281,368,2429
32570,236,1736,1041,1101,890,310,406,2465
32558,250,1666,977,1100,895,263,372,2441
32546,264,1627,1049,1039,894,330,466,2444
32534,276,1598,1066,1164,923,300,469,2431
32523,288,1533,1029,1149,931,288,397,2481
32512,302,1662,1052,1212,1034,302,311,2526
32500,314,1707,1092,1234,1072,265,388,2529
32489,328,1690,1106,1227,1058,234,465,2527
32478,340,1612,1185,1277,1081,261,419,2608
32467,353,1716,1206,1370,1122,238,445,2630
32444,377,1705,1208,1385,1139,295,358,2591
32432,388,1767,1236,1443,1199,284,418,2629
32419,400,1729,1255,1524,1211,256,419,2669
32407,412,1836,1347,1564,1255,244,401,2732
32396,424,1886,1382,1594,1285,330,353,2708
32384,436,1997,1466,1627,1370,341,375,2690
32375,446,1997,1466,1627,1370,341,375,2690
32374,448,1976,1501,1729,1474,319,402,2779
32374,448,1945,1532,1793,1429,361,361,2789
32374,448,1928,1511,1769,1471,374,361,2807
32374,448,1928,1517,1791,1508,284,376,2780
32365,440,1968,1504,1740,1448,325,341,2749
32354,433,1870,1540,1769,1423,265,323,2775
32342,427,1396,1659,1755,1359,385,374,2765
32334,420,1377,1684,1751,1290,297,400,2766
32327,413,1377,1682,1758,1286,273,302,2762
32320,406,1373,1707,1607,1233,263,425,2707
32312,399,1475,1721,1670,1193,312,1003,2696
32306,393,1496,1809,1635,1156,278,561,2693
32300,386,1571,1755,1573,1082,351,507,2578
32294,379,1571,1722,1625,1026,299,590,2584
32287,372,1633,1759,1544,987,298,820,2500
