32426,20235,1036,434,478,1711,821,3466,2389
32426,20235,1007,444,423,1684,818,3466,2378
32426,20235,1035,396,489,1699,780,3447,2376
32426,20235,1003,384,486,1720,737,3452,2400
32426,20235,1010,441,455,1682,811,3494,2387
32426,20235,1078,436,479,1693,741,3467,2370
32426,20235,992,381,548,1686,765,3440,2458
32426,20235,1035,462,502,1684,751,3508,2417
32419,20243,1032,365,549,1705,797,3477,2424
32409,20255,1048,425,532,1668,773,3341,2401
32398,20265,1048,436,485,1622,764,3202,2398
32386,20276,1027,435,489,1592,664,2998,2383
32373,20286,1103,423,438,1628,641,2793,2342
32362,20298,1024,476,447,1689,736,2654,2364
32349,20310,1021,442,446,1709,654,2466,2348
32337,20322,1017,442,446,1709,654,2466,2348
32324,20334,968,425,557,1728,577,2255,2372
32313,20346,1032,433,496,1743,556,2152,2298
32301,20358,1028,410,523,1744,542,2027,2311
32290,20371,987,438,493,1753,498,1988,2271
32278,20383,987,457,503,1722,507,1857,2297
32265,20395,984,444,518,1742,460,1793,2232
32252,20408,995,514,492,1779,460,1759,2244
32240,20422,1039,458,498,1820,467,1668,2220
32228,20435,954,496,507,1869,437,1645,2158
32216,20448,978,474,515,1791,478,1620,2155
32204,20459,978,557,483,1807,455,1647,2118
32194,20471,961,484,539,1843,462,1466,2173
32184,20483,984,419,555,1834,446,1418,2147
32172,20494,1036,521,534,1856,457,1405,2115
32162,20505,1036,546,522,1834,448,1378,2139
32151,20515,999,590,578,1759,490,1387,2160
32140,20526,977,530,503,1766,443,1284,2144
32130,20536,993,408,582,1754,434,1247,2139
32121,20546,1031,481,587,1870,423,1202,2124
32111,20556,998,571,540,1795,461,1241,2066
32100,20568,941,555,619,1813,434,1201,2130
32088,20580,998,556,565,1825,304,1191,2081
32075,20592,943,546,652,1830,152,1142,2119
32063,20605,910,567,582,1915,285,1072,2011
32049,20619,1034,556,569,1890,2018,1095,2101
32036,20632,1034,592,574,1912,3042,1097,1981
32024,20644,983,581,631,1911,3121,1087,1931
32013,20655,1021,611,622,1934,3145,1054,1794
32000,20666,913,570,637,1979,3168,1005,2146
31988,20678,976,598,646,1990,3181,973,2036
31976,20690,990,606,607,1969,3186,1034,2063
31964,20703,990,636,580,1949,3226,984,1907
31953,20716,973,640,661,1950,3242,959,2059
31941,20728,955,653,672,1956,3265,973,2009
31931,20739,879,653,672,1956,3265,973,2009
31919,20749,911,609,654,1933,3365,899,1891
31907,20760,895,600,650,1993,3278,889,1955
31894,20770,916,627,728,1965,3207,873,2041
31881,20781,892,648,651,2050,3310,885,1750
31868,20792,870,591,621,2065,3340,864,1660
31856,20804,958,642,683,2059,3301,859,1971
31844,20815,899,635,699,2168,3290,821,2089
31833,20825,963,633,744,2152,3362,852,2076
31821,20835,918,655,675,2148,3403,801,1951
31808,20846,1044,684,716,2196,3209,820,1970
31795,20858,934,694,697,2184,3360,786,1907
31780,20870,929,695,790,2065,3480,793,1996
31766,20883,933,726,720,1153,3521,833,1930
31753,20897,899,707,761,721,3362,750,1912
31750,20905,855,731,725,582,3404,771,1927
31751,20905,850,710,732,614,3591,752,1864
31752,20906,850,771,767,553,3549,812,1904
31762,20919,902,746,772,621,3562,790,1878
31769,20928,948,746,772,621,3562,790,1878
31769,20930,1264,723,795,651,3560,749,1946
31766,20932,1187,753,757,602,3516,786,1943
31759,20940,1196,753,757,602,3516,786,1943
31749,20955,1189,718,832,647,3481,733,1998
31738,20970,1251,747,805,627,3594,748,1958
31727,20986,1272,741,772,674,3574,689,1954
31716,20999,1260,794,788,680,3535,689,1945
31704,21011,1372,762,784,642,3579,666,1954
31692,21024,1402,781,868,689,3504,638,1992
31679,21035,1406,790,842,767,3502,616,1986
31667,21047,1406,785,876,658,3523,644,1984
31654,21060,1431,815,851,737,3315,621,1962
31642,21073,1386,816,833,766,3597,633,1959
31630,21086,1316,815,925,742,3428,611,1938
31617,21099,1316,858,963,755,3376,566,2003
31605,21112,1386,939,912,778,3363,625,1963
31593,21125,1307,907,952,830,3480,620,1997
31580,21138,1306,893,939,771,3530,575,1937
31569,21152,1418,926,961,848,3679,570,1949
31558,21166,1360,949,1059,842,3555,602,2050
31548,21180,1419,945,1028,843,3528,527,1996
31536,21193,1466,967,1049,873,3577,512,1971
31525,21206,1367,991,1099,899,3527,441,2014
31514,21218,1367,1011,1102,923,3484,467,2031
31503,21230,1486,1031,1096,905,3530,478,2002
31492,21242,1486,1050,1131,977,3497,476,2030
31471,21266,1589,1092,1201,993,1564,529,2026
31460,21276,1598,1122,1229,1015,849,537,2141
31451,21286,1598,1147,1217,959,858,627,2042
31441,21297,1629,1185,1243,1032,822,584,2118
31431,21307,1531,1129,1360,1052,844,519,2133
31421,21319,1634,1164,1363,1123,841,587,2154
31411,21331,1629,1326,1425,1092,695,789,2139
31400,21343,1618,1367,1411,1149,622,570,2139
31389,21356,1553,1291,1460,1192,548,550,2140
31378,21369,1579,1363,1492,1207,513,649,2156
31368,21380,1594,1357,1529,1252,488,665,2148
31358,21390,1527,1405,1592,1247,434,589,2110
31349,21402,1461,1484,1687,1340,552,604,2200
31338,21414,1473,1437,1692,1388,479,511,2183
31327,21426,1502,1544,1810,1444,489,576,2312
31315,21439,1570,1544,1810,1444,489,576,2312
31303,21452,1559,1616,1837,1541,414,515,2193
31291,21464,1559,1702,1992,1593,463,506,2292
31280,21476,1551,1786,2002,1675,459,508,2234
31268,21488,1542,1838,2189,1763,422,624,2316
31258,21498,1522,1838,2189,1763,422,624,2316
31247,21510,1530,1986,2379,1900,437,527,2262
31235,21521,1530,2111,2450,1980,491,586,2336
31230,21529,1530,2151,2619,2091,405,595,2364
31230,21529,1584,2273,2760,2143,444,563,2383
