19536,8027,1019,396,461,1855,737,4056,2040
19536,8027,1038,404,442,1838,712,4062,2023
19536,8027,1038,403,528,1858,730,4055,2089
19536,8027,927,344,473,1865,766,4056,2055
19536,8027,1017,370,460,1829,751,4056,2072
19536,8027,1019,442,424,1837,767,4064,2013
19536,8027,1023,386,482,1843,748,4056,2025
19536,8027,1023,409,460,1855,762,4062,2046
19536,8027,1043,373,430,1866,717,4064,2041
19536,8027,1027,408,465,1848,736,4064,2039
19536,8027,972,406,483,1860,770,4062,2040
19536,8027,988,413,443,1861,786,4054,2054
19534,8028,1024,439,477,1858,835,4057,2044
19516,8045,963,390,510,1844,809,4048,2010
19492,8065,1020,418,490,1887,712,3782,2085
19469,8088,998,376,530,1899,660,3297,2123
19447,8111,966,455,585,1903,609,2909,2143
19423,8135,972,417,541,1922,554,2568,2131
19398,8159,974,433,509,1969,510,2249,1997
19373,8184,916,424,500,1982,507,2072,1982
19350,8209,968,483,574,2011,477,1898,2054
19325,8232,938,537,490,1993,487,1784,1998
19300,8254,938,490,546,2050,510,1659,1940
19285,8270,938,459,580,2165,474,1546,1916
19290,8284,938,487,574,2138,446,1476,1886
19321,8301,894,500,539,2073,507,1463,1832
19338,8307,1143,560,561,1448,474,1516,1983
19339,8307,1413,570,530,1242,1057,1433,2103
19339,8307,1413,570,530,1242,1057,1433,2103
19320,8328,1311,708,529,1189,1089,1417,2118
19297,8351,1364,667,552,1214,1261,1395,2143
19271,8376,1415,526,529,1249,1334,1293,2147
19247,8401,1426,553,575,1152,927,1215,2195
19224,8425,1436,671,545,1140,2193,1220,2262
19200,8449,1434,638,565,1006,3162,1100,2259
19177,8474,1477,667,590,603,3118,1059,2308
19154,8497,1447,585,644,566,3115,964,2260
19131,8519,1534,706,612,532,2982,980,2362
19108,8541,1546,771,683,550,2919,999,2468
19085,8566,1559,710,628,550,2854,897,2372
19064,8590,1617,757,664,553,2869,850,2327
19041,8613,1617,768,706,595,2960,782,2428
19018,8635,1625,744,712,593,2824,786,2622
18996,8658,1692,773,636,557,2794,780,2599
18975,8681,1702,843,701,559,2835,716,2706
18953,8704,1704,798,669,596,2911,671,2618
18930,8726,1821,881,705,632,2652,631,2700
18909,8749,1810,790,725,675,2654,642,2572
18888,8771,1867,827,774,610,2512,550,2287
18865,8792,1914,894,788,758,2572,559,2538
18842,8812,1948,845,780,678,2406,544,2700
18819,8835,1957,884,796,710,2508,605,2726
18796,8859,2028,802,838,692,2513,563,2842
18772,8882,2028,881,824,848,2372,497,2901
18748,8906,2044,838,855,745,2375,522,2951
18725,8931,2121,909,924,775,2272,544,3064
18703,8956,2121,842,967,760,2293,527,3148
18680,8979,2227,937,956,847,2164,473,3204
18656,9000,2386,963,951,843,2031,429,3213
18634,9024,2386,913,1042,871,2054,438,3346
18610,9048,2454,984,1092,910,2048,472,3445
18587,9070,2583,975,1175,914,1923,450,3528
18563,9093,2583,960,1171,965,1087,380,3532
18539,9117,2651,1049,1184,1066,671,414,3713
18516,9142,2650,1100,1274,1115,472,286,3784
18494,9165,2581,1148,1309,1143,488,423,3891
18471,9188,2575,1158,1437,1169,490,485,4011
18448,9211,2575,1282,1508,1236,488,435,4063
18425,9235,2714,1309,1552,1324,421,392,4061
18403,9256,2881,1447,1641,1422,424,486,4065
18380,9278,3013,1499,1769,1466,375,392,4060
18368,9293,3330,1623,1916,1657,488,447,4062
18364,9296,3242,1721,2037,1690,502,549,4052
18357,9288,3242,1739,2057,1717,444,462,4057
18340,9261,3267,1762,2069,1634,361,416,4060
18324,9244,2305,1806,1968,1535,517,511,4057
18307,9228,1637,1851,1914,1394,548,583,4062
18289,9211,1637,1977,1852,1269,499,476,4058
18277,9198,1728,1944,1744,1138,880,1237,4057
18278,9197,1827,1926,1626,1033,1465,1795,4059
18278,9197,1894,1933,1625,1062,1408,1593,4052
18271,9205,1893,1927,1618,1011,1402,1584,4053
18253,9225,1893,1961,1633,993,1418,1702,4061
18229,9248,1919,2013,1766,1109,1379,2005,4055
18206,9268,2075,2247,1870,1132,1200,1940,3856
18190,9285,2528,2461,2006,1168,1087,1840,3733
18184,9289,2635,2790,2161,1252,894,1799,3536
18182,9289,2635,2909,2297,1354,787,1691,3502
18183,9289,2595,2882,2222,1300,973,1564,3486
18182,9289,2595,2793,2237,1271,929,1636,3543
18163,9267,2660,2774,2137,1278,847,1736,3556
18141,9247,2829,2778,2076,1126,1207,812,3387
18126,9232,2829,2657,1791,853,1318,1281,3026
18105,9209,2875,2472,1586,848,1419,1406,2611
18088,9192,2834,2303,1288,616,1294,2090,2347
18070,9175,2820,2067,1166,520,1040,2539,2193
18051,9156,2512,1859,990,445,1006,3283,2022
18034,9139,2512,1673,832,465,876,3979,2168
18016,9122,2364,1455,699,461,837,4057,1557
17999,9106,2142,1222,501,504,618,3991,1746
17982,9090,1989,1089,500,471,299,3367,1802
17969,9078,1728,906,566,866,379,1952,1882
17969,9078,1594,796,530,1099,561,1781,1933
17969,9078,1503,752,487,1091,540,1783,1913
17969,9078,1503,771,472,1141,551,1735,1891
17949,9095,1484,775,538,1094,541,1767,1950
17926,9118,1484,665,491,1094,563,3014,1908
17899,9145,1554,817,548,1034,620,4061,1971
17872,9169,1585,809,523,1023,620,4056,1990
17847,9192,1588,773,478,1048,536,3621,2077
17823,9215,1624,780,521,1010,427,3076,2090
17796,9238,1668,821,520,1065,505,2750,2154
17772,9261,1653,801,553,1048,472,2409,2200
17749,9283,1708,795,565,1003,532,2196,2273
17724,9304,1719,803,528,1039,587,1962,2298
17699,9328,1708,809,511,976,478,1818,2313
17674,9352,1769,834,549,1064,630,1721,2372
17652,9374,1771,856,544,997,819,1600,2456
17628,9397,1844,938,509,841,1050,1623,2468
17605,9421,1871,831,563,783,968,1379,2523
17582,9444,1902,884,554,543,780,1393,2551
17559,9466,1974,898,559,505,1201,1300,2606
17540,9485,2047,898,559,505,1201,1300,2606
17532,9492,2003,903,598,548,2541,1164,2719
17531,9492,2070,911,633,548,2504,1146,2776
17522,9483,2070,889,627,519,2535,1142,2775
17501,9462,1989,842,579,521,2526,1166,2743
17483,9444,1714,681,655,1148,586,1170,2806
17466,9429,1317,566,628,1449,200,1170,2820
17462,9427,1047,551,563,1736,473,1223,2700
17463,9427,925,537,577,1790,536,1225,2673
17463,9427,991,537,594,1814,486,1230,2699
17458,9431,991,531,616,1784,505,1209,2681
17440,9453,1028,538,622,1823,441,1211,2674
17416,9475,1011,563,554,1871,479,1165,2639
17393,9497,1012,575,588,1852,56,1106,2601
17370,9517,955,619,613,1907,20,1095,2576
17346,9540,951,572,638,1923,1808,995,2590
17320,9562,910,582,617,1988,2651,977,2483
17296,9584,969,587,585,2031,2733,975,2398
17272,9609,887,613,596,2105,2826,910,2383
17245,9634,887,606,677,2166,2879,925,2346
17221,9659,855,628,645,2239,2887,891,2290
17198,9684,840,642,683,2302,2992,878,2269
17173,9709,880,670,645,2309,3083,891,2185
17149,9732,853,668,666,2323,3216,834,2185
17131,9750,853,668,666,2323,3216,834,2185
17124,9756,834,689,722,2559,3342,805,2065
17141,9767,852,699,755,2556,3294,774,2087
17159,9785,852,692,759,2356,3317,824,2135
17160,9787,1134,696,741,575,3435,782,2186
17160,9787,1134,723,746,572,3484,806,2179
17160,9787,1101,723,746,572,3484,806,2179
17147,9797,1153,688,762,620,3520,790,2153
17125,9818,1153,703,714,611,3457,765,2169
17102,9842,1072,736,681,594,3421,766,2160
17078,9865,1104,737,762,632,3478,761,2172
17053,9890,1121,762,788,737,3475,725,2188
17028,9916,1119,807,814,634,3543,811,2120
17004,9939,1098,790,800,732,3519,722,2111
16981,9963,1066,837,816,697,3557,696,2124
16957,9986,1149,826,914,685,3559,662,2175
16933,10010,1149,913,877,709,3543,745,2133
16910,10032,1131,901,902,741,3544,659,2181
16886,10056,1097,892,996,750,3578,635,2280
16863,10079,1126,973,1065,825,3505,602,2213
16840,10104,1141,976,1081,787,3517,649,2199
16818,10126,1130,1030,1087,851,3524,645,2159
16796,10150,1214,1095,1157,852,3560,638,2179
16771,10173,1196,1079,1202,908,3717,561,2179
16748,10197,1135,1191,1212,924,825,599,2142
16726,10219,1189,1253,1342,995,535,639,2194
16705,10240,1137,1289,1313,998,553,595,2102
16683,10262,1169,1355,1451,1095,571,529,2165
16661,10284,1206,1448,1468,1143,599,613,2146
16640,10307,1299,1519,1620,1218,549,515,2089
16617,10329,1322,1648,1737,1285,655,635,2186
16595,10352,1396,1793,1851,1407,625,549,2147
16571,10375,1469,1917,1961,1462,641,540,2126
16548,10400,1600,2038,2169,1650,660,585,2145
16525,10424,1735,2281,2317,1735,625,536,2161
16501,10451,1918,2577,2696,1948,716,557,2131
16477,10475,2059,3068,3166,2212,640,551,2176
16457,10496,2632,3408,3732,2570,596,512,2142
16454,10503,2632,4058,4056,2906,581,497,2178
16453,10503,3004,4059,4059,3184,560,566,2206
16453,10503,2904,4059,4059,3184,560,566,2206
16448,10496,2904,4056,4058,3059,566,527,2239
16425,10477,2854,4057,4059,3112,550,508,2233
16405,10458,3328,4061,4061,2569,276,574,2148
16387,10442,3816,4058,3977,2265,499,461,2148
16370,10426,4047,4057,3626,1880,434,802,2022
16353,10408,4052,4057,3212,1511,677,605,1900
